block_number,tx_hash,reserve,user,on_behalf_of,amount_usdc,referral_code
77056000,0x0000000000032ac89cf7d74c7383d3491a58b7e48d3928575ef565f3017eb03a,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,2218.54,0
77056001,0x00000000000ce0fcf8d75bbad94c70a0d90ef5351958ee5a4717555d72274ad0,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,1381.02,0
77056002,0x00000000000a1170bd3cb338bd517dbc9b01e2bdb22373d2c91e670ceaa8f98b,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,16679.84,0
77056003,0x00000000000eb886643ee4628bd097a70519c36ea75fd25733adccb31baec9bd,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,1002.61,0
77056004,0x00000000001162a3544dc60e52efc4db32f89696a597b9d43c4acb6633b38638,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,9041.54,0
77056005,0x000000000012ebb82b5f3f2d330f50e0264f301ba4a8f1baec8495036e571edb,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,5392.61,0
77056006,0x000000000012a6749d040fbfb415f9fc94ba59b80e2b2c3ce656aef0f2844c9d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,6934.57,0
77056007,0x000000000017220d04b97d8bad93bf1559aca4586f35b4c08505f5dad5183c61,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,2184.09,0
77056008,0x0000000000056fff9221d12dc6c07b0083d6efc24cc02ae7a8b29661a7b08c13,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,1633.84,0
77056009,0x00000000001158a4ae38838a473977f31777a73fc9f26873d200fcae38f9dd11,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xF977814e90dA44bFA03b6295A0616a897441aceC,0xF977814e90dA44bFA03b6295A0616a897441aceC,8663.9,0
77056010,0x00000000000bff15816a667612ce3366939721151231cc60601f98236fc45f1b,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,1322.57,0
77056011,0x0000000000156cf6661926dc354ab60fc219eac9eb92a7de2a6e03c53f90db93,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,8632.29,0
77056012,0x000000000006ec87adbc9be123399a476a2e480b19ec68b215b8156180565ce4,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,59038.95,0
77056013,0x000000000017aa6b8a0d65cbdca1afeee0ef62e4c83ada9eef69209d5fe3c054,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x28C6c06298d514Db089934071355E5743bf21d60,0x28C6c06298d514Db089934071355E5743bf21d60,1234.62,0
77056014,0x0000000000178f2ad6ce053c8274ccc2d12c083ef87cc80eddb88fa3f23cde01,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,1489.07,0
77056015,0x00000000001206c07528e41c7168523682de393e932510b8b7abc650cbfc0b00,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,3643.92,0
77056016,0x000000000005dbfa7b487534dcc9103ab9080bf1f275b527c0ae2c2429d246e5,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,4438.68,0
77056017,0x00000000000cfbd7faab57bb565d96adbb00b2c77b3eda2d7303cac600d2c6aa,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,70392.06,0
77056018,0x00000000000492dbccb606520a3e34fa17e8ccd32cf34a3ade84c4310043dcb2,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,56292.44,0
77056019,0x000000000013adf47c2f84e45c7893bd149c53aa17479ac7b26ed9cd6cae72a1,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,20619.48,0
77056020,0x00000000000b00073157cc5fb22cb840adafa869dfc7680f6406652353cf64aa,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,3456.77,0
